dis_img_path,dis_type,score,orig_width,orig_height,views,likes,favorites,downloads,comments,image_bytes,user_name,page_url,image_name_orig
UHD-IQA/training/1.jpg,Authentic,0.76,5515,3375,10860,137,169,4670,16,2954877,congerdesign,https://pixabay.com/photos/book-old-book-read-used-2363881/,54e3d340425aad14ea89877bc72e3f771122dfe054527349712d79d1.jpg
UHD-IQA/training/2.jpg,Authentic,0.7585,4850,3145,156059,531,456,59253,95,3013358,Couleur,https://pixabay.com/photos/water-lily-flower-blossom-bloom-1442497/,57e4d1414e5bab14ea89877bc72e3f771122dfe054537641752b7ad4.jpg
UHD-IQA/training/3.jpg,Authentic,0.768,4000,3000,26195,151,137,12258,28,2407275,silviarita,https://pixabay.com/photos/fruit-avocado-lemon-orange-2109043/,54e1d54a4a56af14ea89877bc72e3f771122dfe05453724e702e73d2.jpg
UHD-IQA/test/4.jpg,Authentic,0.5745,5456,3632,20224,159,181,5429,28,6652048,Efraimstochter,https://pixabay.com/photos/control-gnome-troll-785555/,51e8d0464f57b114a6db827dc1203e7a083edbe25357794a7c297c.jpg
UHD-IQA/training/5.jpg,Authentic,0.7055,5086,3284,5958,39,99,4028,2,3129023,StockSnap,https://pixabay.com/photos/flower-white-petal-bloom-garden-2592591/,54e5dc414f5bad14ea89877bc72e3f771122dfe054527840762a7dd5.jpg
UHD-IQA/training/6.jpg,Authentic,0.7455,4928,3264,19276,114,113,7733,11,2893259,congerdesign,https://pixabay.com/photos/strawberries-wild-strawberries-daisy-800521/,5ee0d5464853b114a6db827dc1203e7a083edbe25356734a702c7b.jpg
UHD-IQA/training/7.jpg,Authentic,0.78,4288,2848,49184,204,221,27236,15,1726164,1643606,https://pixabay.com/photos/walnuts-nuts-brown-close-up-2312506/,54e3d4414f52aa14ea89877bc72e3f771122dfe05452714b70297fd6.jpg
UHD-IQA/validation/8.jpg,Authentic,0.613,4272,2848,3388,37,63,1510,1,1527016,Amber_Avalona,https://pixabay.com/photos/chandelier-lights-light-bulbs-1422440/,57e4d7414e56ac14ea89877bc72e3f771122dfe0545376497d2f7cd4.jpg
UHD-IQA/training/9.jpg,Authentic,0.7345,4000,2420,12016,79,120,5307,11,1212536,AnnieSpratt,https://pixabay.com/photos/black-coffee-coffee-color-cup-dark-1868462/,57e8d34b4e54ae14ea89877bc72e3f771122dfe05455744b72267ed7.jpg
UHD-IQA/training/10.jpg,Authentic,0.6415,3888,2592,5221,49,77,2242,2,2630095,wnk1029,https://pixabay.com/photos/grand-teton-teton-national-park-2650224/,54e6d0434850a814ea89877bc72e3f771122dfe05455754d70267add.jpg
UHD-IQA/training/11.jpg,Authentic,0.6395,5760,3840,20232,98,151,10622,5,2402672,Pexels,https://pixabay.com/photos/campfire-burning-camping-close-up-1846142/,57e8d1454b56ae14ea89877bc72e3f771122dfe05455754d712f7fdd.jpg
UHD-IQA/training/12.jpg,Authentic,0.6625,4453,3456,2842,48,44,898,5,3831587,natiibio,https://pixabay.com/photos/butterfly-insect-wings-nature-747772/,51e4d2444d50b114a6db827dc1203e7a083edbe25354794d752d7d.jpg
UHD-IQA/training/13.jpg,Authentic,0.7325,5184,3456,34627,236,255,11745,16,6367559,557453,https://pixabay.com/photos/matryoshka-red-fly-agaric-mushroom-516281/,53e1d3414253b114a6db827dc1203e7a083edbe25255784b7c287a.jpg
UHD-IQA/training/14.jpg,Authentic,0.6865,5772,4000,43840,139,210,18454,19,6214008,Anemone123,https://pixabay.com/photos/girlfriends-hug-trust-girl-2213259/,54e2d4404857a514ea89877bc72e3f771122dfe05453764971277dd1.jpg
UHD-IQA/training/15.jpg,Authentic,0.7895,4272,2848,11409,76,111,5746,3,10356308,ShonEjai,https://pixabay.com/photos/background-abstract-graffiti-1517622/,57e5d4444c50ae14ea89877bc72e3f771122dfe05452714d722f7ad4.jpg
UHD-IQA/training/16.jpg,Authentic,0.752,5568,3712,4912,71,84,2040,7,9759018,Georg_Wietschorke,https://pixabay.com/photos/great-grey-owl-hybrid-3016287/,55e0d445485aab14ea89877bc72e3f771122dfe05454794b732d7fdd.jpg
UHD-IQA/training/17.jpg,Authentic,0.6635,4752,3168,5211,64,70,2126,4,4341339,justine-hoegh,https://pixabay.com/photos/natural-mammals-portrait-horse-3269258/,55e2d34a4857a414ea89877bc72e3f771122dfe054577948762c7bd5.jpg
UHD-IQA/training/18.jpg,Authentic,0.656,5595,3730,6147,63,90,1952,3,3165249,JillWellington,https://pixabay.com/photos/sunflowers-summer-yellow-nature-2191627/,54e1dc424c50ab14ea89877bc72e3f771122dfe05453774a762c73d0.jpg
UHD-IQA/validation/19.jpg,Authentic,0.6955,7952,5304,38245,172,221,23081,9,11686567,Quangpraha,https://pixabay.com/photos/background-the-beach-nice-green-3062024/,55e0d3414a50a814ea89877bc72e3f771122dfe05454784e702d7bdd.jpg
UHD-IQA/training/20.jpg,Authentic,0.6995,5184,2824,7724,120,138,3573,16,2582624,pixel2013,https://pixabay.com/photos/dandelion-meadow-dandelion-meadow-3382825/,55e3dd414250a914ea89877bc72e3f771122dfe0545672497c2a7ed6.jpg
UHD-IQA/validation/21.jpg,Authentic,0.6735,5184,3456,275093,563,898,109620,124,2241942,Free-Photos,https://pixabay.com/photos/macbook-notebook-home-office-336704/,55e3d3444a56b114a6db827dc1203e7a083edbe253597440712f7c.jpg
UHD-IQA/training/22.jpg,Authentic,0.775,4690,3127,58069,235,260,24966,26,3728891,AlexanderStein,https://pixabay.com/photos/paper-crepe-crepe-paper-colorful-184920/,57e8d14a4852b114a6db827dc1203e7a083edbe25355704d75277f.jpg
UHD-IQA/test/23.jpg,Authentic,0.6945,5809,3873,42882,176,247,15150,16,4279497,nutraveller,https://pixabay.com/photos/amazing-andaman-sea-angle-2451327/,54e4d0424950ab14ea89877bc72e3f771122dfe05452754e732a73d1.jpg
UHD-IQA/training/24.jpg,Authentic,0.748,5760,3840,17331,165,235,8531,9,2633765,JillWellington,https://pixabay.com/photos/valentine-s-day-hot-chocolate-1955239/,57e9d0464851a514ea89877bc72e3f771122dfe05455794d7d2979d6.jpg
UHD-IQA/training/25.jpg,Authentic,0.757,7952,5304,1879,48,30,829,0,13065320,Quangpraha,https://pixabay.com/photos/asia-bamboo-tree-nice-the-son-3062029/,55e0d3414a50a514ea89877bc72e3f771122dfe05454784e702d78d0.jpg
UHD-IQA/training/26.jpg,Authentic,0.802,5500,3760,87505,264,265,76133,37,4179978,pixel2013,https://pixabay.com/photos/sunflower-flower-blossom-bloom-3540266/,55e5d1434854aa14ea89877bc72e3f771122dfe054597249732f73d1.jpg
UHD-IQA/test/27.jpg,Authentic,0.753,5657,3771,230561,728,899,129715,91,7262347,Free-Photos,https://pixabay.com/photos/architecture-skyscraper-urban-city-768432/,51e6dd474950b114a6db827dc1203e7a083edbe25357724e702a7b.jpg
UHD-IQA/training/28.jpg,Authentic,0.7825,5184,3456,35508,174,180,10768,20,5186185,diego_torres,https://pixabay.com/photos/deer-animal-richmond-952744/,5fe5d7444e56b114a6db827dc1203e7a083edbe25253744c762f7a.jpg
UHD-IQA/training/29.jpg,Authentic,0.705,4928,3264,7808,72,97,3493,14,4087038,Huskyherz,https://pixabay.com/photos/soap-bubble-frozen-ice-winter-2013161/,54e0d4404b54ad14ea89877bc72e3f771122dfe05453704b7c2c7bdc.jpg
UHD-IQA/training/30.jpg,Authentic,0.7455,4000,3000,33943,244,231,11847,19,2347814,LoggaWiggler,https://pixabay.com/photos/fly-agaric-mushrooms-468767/,52e6dd444c55b114a6db827dc1203e7a083edbe25252774b722c7d.jpg
UHD-IQA/training/31.jpg,Authentic,0.7905,5616,3744,4702,61,78,2195,8,3942870,thalyagirl95,https://pixabay.com/photos/cat-kitten-cute-portrait-eye-pet-3217406/,55e2d4444e52aa14ea89877bc72e3f771122dfe054577749712678d0.jpg
UHD-IQA/test/32.jpg,Authentic,0.54,5047,3365,8339,71,92,2354,5,2593510,JillWellington,https://pixabay.com/photos/purple-flowers-spring-bouquet-2191623/,54e1dc424c50af14ea89877bc72e3f771122dfe05453774a762c7cd6.jpg
UHD-IQA/validation/33.jpg,Authentic,0.6825,5472,3648,24352,145,186,15121,6,4996199,Pexels,https://pixabay.com/photos/autumnal-beautiful-color-dawn-haze-1868944/,57e8d34b4356a814ea89877bc72e3f771122dfe05455744a752c72d3.jpg
UHD-IQA/training/34.jpg,Authentic,0.6985,4777,3166,30764,194,205,21679,20,2709287,InspiredImages,https://pixabay.com/photos/abstract-shining-color-luminescence-3061404/,55e0d3424e52a814ea89877bc72e3f771122dfe05454784e762e78d5.jpg
UHD-IQA/validation/35.jpg,Authentic,0.5915,4208,3006,77361,322,251,28611,60,2479293,ArtTower,https://pixabay.com/photos/rainbow-canim-lake-british-columbia-142701/,57e4d7444a53b114a6db827dc1203e7a083edbe25353794b762e72.jpg
