dis_img_path,dis_type,score
SPAQ/Dataset/TestImage/00001.jpg,Authentic,48.86
SPAQ/Dataset/TestImage/00002.jpg,Authentic,62.5
SPAQ/Dataset/TestImage/00003.jpg,Authentic,77.25
SPAQ/Dataset/TestImage/00004.jpg,Authentic,67
SPAQ/Dataset/TestImage/00005.jpg,Authentic,22.71
SPAQ/Dataset/TestImage/00006.jpg,Authentic,33.17
SPAQ/Dataset/TestImage/00007.jpg,Authentic,73
SPAQ/Dataset/TestImage/00008.jpg,Authentic,20.14
SPAQ/Dataset/TestImage/00009.jpg,Authentic,12.5
SPAQ/Dataset/TestImage/00010.jpg,Authentic,56.25
SPAQ/Dataset/TestImage/00011.jpg,Authentic,63.13
SPAQ/Dataset/TestImage/00012.jpg,Authentic,20.14
SPAQ/Dataset/TestImage/00013.jpg,Authentic,25
SPAQ/Dataset/TestImage/00014.jpg,Authentic,5.83
SPAQ/Dataset/TestImage/00015.jpg,Authentic,29.11
SPAQ/Dataset/TestImage/00016.jpg,Authentic,76.14
SPAQ/Dataset/TestImage/00017.jpg,Authentic,56.29
SPAQ/Dataset/TestImage/00018.jpg,Authentic,31.57
SPAQ/Dataset/TestImage/00019.jpg,Authentic,70.57
SPAQ/Dataset/TestImage/00020.jpg,Authentic,59.88
SPAQ/Dataset/TestImage/00021.jpg,Authentic,74.13
SPAQ/Dataset/TestImage/00022.jpg,Authentic,58.75
SPAQ/Dataset/TestImage/00023.jpg,Authentic,44.13
SPAQ/Dataset/TestImage/00024.jpg,Authentic,36.75
SPAQ/Dataset/TestImage/00025.jpg,Authentic,56
SPAQ/Dataset/TestImage/00026.jpg,Authentic,71.43
SPAQ/Dataset/TestImage/00027.jpg,Authentic,48.88
SPAQ/Dataset/TestImage/00028.jpg,Authentic,8.86
SPAQ/Dataset/TestImage/00029.jpg,Authentic,16.86
SPAQ/Dataset/TestImage/00030.jpg,Authentic,41
SPAQ/Dataset/TestImage/00031.jpg,Authentic,78.83
SPAQ/Dataset/TestImage/00032.jpg,Authentic,70.86
SPAQ/Dataset/TestImage/00033.jpg,Authentic,64.83
SPAQ/Dataset/TestImage/00034.jpg,Authentic,91.2
SPAQ/Dataset/TestImage/00035.jpg,Authentic,38.17
SPAQ/Dataset/TestImage/00036.jpg,Authentic,27
SPAQ/Dataset/TestImage/00037.jpg,Authentic,64.71
SPAQ/Dataset/TestImage/00038.jpg,Authentic,8
SPAQ/Dataset/TestImage/00039.jpg,Authentic,63
SPAQ/Dataset/TestImage/00040.jpg,Authentic,25.17
SPAQ/Dataset/TestImage/00041.jpg,Authentic,22.5
SPAQ/Dataset/TestImage/00042.jpg,Authentic,50.29
SPAQ/Dataset/TestImage/00043.jpg,Authentic,51.83
SPAQ/Dataset/TestImage/00044.jpg,Authentic,34.17
SPAQ/Dataset/TestImage/00045.jpg,Authentic,8.71
SPAQ/Dataset/TestImage/00046.jpg,Authentic,16.67
SPAQ/Dataset/TestImage/00047.jpg,Authentic,22.57
SPAQ/Dataset/TestImage/00048.jpg,Authentic,22.43
SPAQ/Dataset/TestImage/00049.jpg,Authentic,36.83
SPAQ/Dataset/TestImage/00050.jpg,Authentic,58.83
SPAQ/Dataset/TestImage/00051.jpg,Authentic,11.67
SPAQ/Dataset/TestImage/00052.jpg,Authentic,75.83
SPAQ/Dataset/TestImage/00053.jpg,Authentic,71
SPAQ/Dataset/TestImage/00054.jpg,Authentic,19.33
SPAQ/Dataset/TestImage/00055.jpg,Authentic,14
SPAQ/Dataset/TestImage/00056.jpg,Authentic,67
SPAQ/Dataset/TestImage/00057.jpg,Authentic,65.56
SPAQ/Dataset/TestImage/00058.jpg,Authentic,45.7
SPAQ/Dataset/TestImage/00059.jpg,Authentic,32.6
SPAQ/Dataset/TestImage/00060.jpg,Authentic,16.13
SPAQ/Dataset/TestImage/00061.jpg,Authentic,78
SPAQ/Dataset/TestImage/00062.jpg,Authentic,32.5
SPAQ/Dataset/TestImage/00063.jpg,Authentic,37.6
SPAQ/Dataset/TestImage/00064.jpg,Authentic,31.33
SPAQ/Dataset/TestImage/00065.jpg,Authentic,32.78
SPAQ/Dataset/TestImage/00066.jpg,Authentic,67.63
SPAQ/Dataset/TestImage/00067.jpg,Authentic,67.86
SPAQ/Dataset/TestImage/00068.jpg,Authentic,18.63
SPAQ/Dataset/TestImage/00069.jpg,Authentic,66.88
