dis_img_path,dis_type,score,variance,ratings
GFIQA/images/831481558_0.png,image_natural,0.529923862,0.067906645,[0.46391753 0.40206186 0.43434343 0.41       0.73958333 0.96969697 0.22222222 0.69791667 0.62626263 1.         0.10204082 0.54545455 0.2755102 ]
GFIQA/images/5446868959_0.png,image_natural,0.508623544,0.061162419,[0.35051546 0.57731959 0.25252525 0.43       0.19791667 0.94949495 0.29292929 0.45833333 0.64646465 0.8989899  0.33673469 0.35353535 0.86734694]
GFIQA/images/7882968136_0.png,image_natural,0.395823201,0.059368706,[0.31958763 0.06185567 0.36363636 0.31       0.20833333 0.81818182 0.         0.44791667 0.42424242 0.58585859 0.81632653 0.39393939]
GFIQA/images/6668110921_0.png,image_natural,0.322223701,0.058960346,[0.06185567 0.36082474 0.22222222 0.35       0.17708333 0.43434343 0.06060606 0.625      0.53535354 0.22222222 0.93877551 0.49494949]
GFIQA/images/9199698267_0.png,image_natural,0.509106435,0.055969148,[0.56701031 0.26804124 0.28282828 0.3        0.91666667 0.95959596 0.15656566 0.57291667 0.45454545 0.52525253 0.47959184 0.62626263]
GFIQA/images/11650668094_0.png,image_natural,0.34211287,0.055949684,[0.27835052 0.21649485 0.25252525 0.24       0.64583333 0.97979798 0.03030303 0.4375     0.38383838 0.28282828 0.56122449 0.43434343]
GFIQA/images/8168420631_0.png,image_natural,0.580312298,0.054652569,[0.58247423 0.12886598 0.57575758 0.475      0.28125    0.90909091 0.67676768 0.453125   0.49494949 1.         0.76020408 0.62626263]
GFIQA/images/7178759056_0.png,image_natural,0.285206592,0.054362093,[0.17525773 0.20618557 0.98989899 0.34       0.20833333 0.44444444 0.02020202 0.35416667 0.21212121 0.25252525 0.47959184 0.44444444]
GFIQA/images/6378298689_0.png,image_natural,0.509779805,0.053661288,[0.35051546 0.17525773 0.54545455 0.37       0.96875    0.94949495 0.32323232 0.5        0.53535354 0.3030303  0.53061224 0.56565657]
GFIQA/images/11916809975_0.png,image_natural,0.380930277,0.053563899,[0.20618557 0.18556701 0.21212121 0.21       0.79166667 0.91919192 0.28282828 0.44791667 0.48484848 0.29292929 0.54081633 0.53535354]
GFIQA/images/7361841176_0.png,image_natural,0.404012319,0.052772163,[0.24742268 0.34020619 0.41414141 0.32       0.72916667 0.94949495 0.04040404 0.46875    0.49494949 0.26262626 0.52040816 0.60606061]
